appointment_id,billed_minutes,billing_code
A0026,27,FOLLOWUP-15
A0125,21,FOLLOWUP-15
A0179,52,GEN-40
A0029,16,FOLLOWUP-15
A0022,17,GEN-40
A0153,29,FOLLOWUP-15
A0044,35,GEN-40
A0213,32,FOLLOWUP-15
A0073,17,FOLLOWUP-15
A0014,52,FOLLOWUP-15
A0187,16,FOLLOWUP-15
A0042,39,GEN-20
A0101,32,GEN-40
A0190,48,GEN-20
A0056,43,GEN-40
A0215,15,GEN-20
A0103,41,GEN-20
A0097,22,GEN-40
A0208,39,GEN-20
A0192,20,FOLLOWUP-15
A0077,29,GEN-20
A0040,28,GEN-20
A0181,53,GEN-20
A0104,26,GEN-40
A0141,18,GEN-20
A0077,16,GEN-20
A0167,45,FOLLOWUP-15
A0067,12,FOLLOWUP-15
A0088,19,GEN-40
A0146,42,GEN-20
A0168,17,FOLLOWUP-15
A0151,18,GEN-40
A0021,31,GEN-20
A0038,20,FOLLOWUP-15
A0164,21,GEN-20
A0217,12,FOLLOWUP-15
A0002,40,GEN-40
A0135,52,FOLLOWUP-15
A0082,38,FOLLOWUP-15
A0106,25,GEN-20
A0085,20,GEN-20
A0035,36,GEN-40
A0140,32,GEN-20
A0062,53,GEN-20
A0055,50,FOLLOWUP-15
A0115,30,FOLLOWUP-15
A0152,31,GEN-20
A0010,44,GEN-20
A0142,30,FOLLOWUP-15
A0075,27,GEN-40
A0116,27,GEN-40
A0177,16,FOLLOWUP-15
A0027,12,GEN-40
A0131,20,GEN-40
A0150,48,GEN-40
A0182,55,GEN-20
A0134,16,GEN-20
A0207,12,GEN-40
A0216,15,GEN-40
A0012,52,FOLLOWUP-15
A0178,38,GEN-40
A0016,17,FOLLOWUP-15
A0183,51,GEN-20
A0199,31,GEN-20
A0164,25,GEN-20
A0008,37,FOLLOWUP-15
A0046,53,FOLLOWUP-15
A0083,31,FOLLOWUP-15
A0108,27,GEN-20
A0093,39,GEN-20
A0100,50,GEN-20
A0047,54,FOLLOWUP-15
A0118,12,FOLLOWUP-15
A0195,12,GEN-20
A0137,34,FOLLOWUP-15
A0112,28,GEN-20
A0089,29,FOLLOWUP-15
A0123,13,GEN-40
A0188,29,FOLLOWUP-15
A0079,48,FOLLOWUP-15
A0130,35,GEN-20
A0133,48,GEN-20
A0170,28,GEN-20
A0154,55,FOLLOWUP-15
A0205,44,GEN-20
A0090,27,GEN-20
A0048,36,GEN-20
A0197,14,FOLLOWUP-15
A0050,53,GEN-40
A0114,27,GEN-40
A0202,32,GEN-40
A0127,48,GEN-40
A0064,55,GEN-20
A0039,45,GEN-20
A0005,16,GEN-40
A0122,31,GEN-40
A0018,35,GEN-20
A0015,31,FOLLOWUP-15
A0078,41,GEN-40
A0119,43,GEN-20
A0017,46,GEN-20
A0194,38,GEN-20
A0007,34,FOLLOWUP-15
A0121,12,GEN-40
A0220,31,GEN-20
A0096,27,GEN-40
A0218,15,GEN-20
A0206,17,GEN-20
A0095,45,GEN-40
A0117,35,GEN-40
A0032,17,FOLLOWUP-15
A0068,37,GEN-20
A0004,15,GEN-40
A0151,20,GEN-20
A0173,32,GEN-40
A0165,32,GEN-40
A0143,26,GEN-20
A0058,20,FOLLOWUP-15
A0020,18,GEN-20
A0120,32,GEN-40
A0087,34,GEN-20
A0172,41,GEN-40
A0089,17,GEN-20
A0066,31,FOLLOWUP-15
A0043,14,GEN-20
A0129,32,GEN-20
A0189,34,GEN-40
A0052,55,GEN-40
A0045,23,GEN-20
A0084,40,FOLLOWUP-15
A0212,27,GEN-20
A0024,20,GEN-20
A0094,26,GEN-20
A0149,37,GEN-40
A0009,53,GEN-20
A0113,28,GEN-20
A0175,40,GEN-20
A0065,33,GEN-20
A0163,22,FOLLOWUP-15
A0057,37,GEN-40
A0201,23,GEN-40
A0074,23,GEN-40
A0128,21,GEN-20
A0203,51,GEN-20
A0156,43,GEN-40
A0191,42,GEN-20
A0176,38,GEN-20
A0145,45,GEN-20
A0003,46,GEN-20
A0071,34,GEN-40
A0102,43,GEN-40
A0169,44,GEN-40
A0006,23,GEN-20
A0214,26,GEN-20
A0180,29,GEN-20
A0076,42,FOLLOWUP-15
A0148,49,GEN-20
A0147,18,GEN-20
A0098,29,FOLLOWUP-15
A0061,15,GEN-20
A0028,36,GEN-40
A0124,23,GEN-20
A0099,32,FOLLOWUP-15
A0051,49,GEN-20
